,FIPS,geoid,Stabr,County_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_2013,Metro_Nonmetro_2013,Metro_Micro_Noncore_2013,Year,Production
24872,1001,1001,AL,Autauga County,2,2,1,2,2008,0
27981,1001,1001,AL,Autauga County,2,2,1,2,2009,0
15545,1001,1001,AL,Autauga County,2,2,1,2,2005,0
3109,1001,1001,AL,Autauga County,2,2,1,2,2001,0
31090,1001,1001,AL,Autauga County,2,2,1,2,2010,0
12436,1001,1001,AL,Autauga County,2,2,1,2,2004,0
21763,1001,1001,AL,Autauga County,2,2,1,2,2007,0
6218,1001,1001,AL,Autauga County,2,2,1,2,2002,0
9327,1001,1001,AL,Autauga County,2,2,1,2,2003,0
18654,1001,1001,AL,Autauga County,2,2,1,2,2006,0
34199,1001,1001,AL,Autauga County,2,2,1,2,2011,0
0,1001,1001,AL,Autauga County,2,2,1,2,2000,0
15546,1003,1003,AL,Baldwin County,3,2,1,2,2005,84536875
18655,1003,1003,AL,Baldwin County,3,2,1,2,2006,83951640
34200,1003,1003,AL,Baldwin County,3,2,1,2,2011,51041072
9328,1003,1003,AL,Baldwin County,3,2,1,2,2003,101510068
21764,1003,1003,AL,Baldwin County,3,2,1,2,2007,82876786
6219,1003,1003,AL,Baldwin County,3,2,1,2,2002,107142655
3110,1003,1003,AL,Baldwin County,3,2,1,2,2001,98699994
31091,1003,1003,AL,Baldwin County,3,2,1,2,2010,63069025
27982,1003,1003,AL,Baldwin County,3,2,1,2,2009,68525628
24873,1003,1003,AL,Baldwin County,3,2,1,2,2008,78547145
1,1003,1003,AL,Baldwin County,3,2,1,2,2000,72543902
12437,1003,1003,AL,Baldwin County,3,2,1,2,2004,90146850
21765,1005,1005,AL,Barbour County,6,6,0,0,2007,0
31092,1005,1005,AL,Barbour County,6,6,0,0,2010,0
34201,1005,1005,AL,Barbour County,6,6,0,0,2011,0
27983,1005,1005,AL,Barbour County,6,6,0,0,2009,0
3111,1005,1005,AL,Barbour County,6,6,0,0,2001,0
15547,1005,1005,AL,Barbour County,6,6,0,0,2005,0
9329,1005,1005,AL,Barbour County,6,6,0,0,2003,0
24874,1005,1005,AL,Barbour County,6,6,0,0,2008,0
6220,1005,1005,AL,Barbour County,6,6,0,0,2002,0
12438,1005,1005,AL,Barbour County,6,6,0,0,2004,0
2,1005,1005,AL,Barbour County,6,6,0,0,2000,0
18656,1005,1005,AL,Barbour County,6,6,0,0,2006,0
9330,1007,1007,AL,Bibb County,1,1,1,2,2003,0
3112,1007,1007,AL,Bibb County,1,1,1,2,2001,0
3,1007,1007,AL,Bibb County,1,1,1,2,2000,0
34202,1007,1007,AL,Bibb County,1,1,1,2,2011,400504
24875,1007,1007,AL,Bibb County,1,1,1,2,2008,684143
6221,1007,1007,AL,Bibb County,1,1,1,2,2002,0
15548,1007,1007,AL,Bibb County,1,1,1,2,2005,8301
18657,1007,1007,AL,Bibb County,1,1,1,2,2006,98853
27984,1007,1007,AL,Bibb County,1,1,1,2,2009,551719
21766,1007,1007,AL,Bibb County,1,1,1,2,2007,480015
12439,1007,1007,AL,Bibb County,1,1,1,2,2004,0
31093,1007,1007,AL,Bibb County,1,1,1,2,2010,453132
31094,1009,1009,AL,Blount County,1,1,1,2,2010,3594
34203,1009,1009,AL,Blount County,1,1,1,2,2011,21496
27985,1009,1009,AL,Blount County,1,1,1,2,2009,61054
4,1009,1009,AL,Blount County,1,1,1,2,2000,0
18658,1009,1009,AL,Blount County,1,1,1,2,2006,0
9331,1009,1009,AL,Blount County,1,1,1,2,2003,0
3113,1009,1009,AL,Blount County,1,1,1,2,2001,0
6222,1009,1009,AL,Blount County,1,1,1,2,2002,0
24876,1009,1009,AL,Blount County,1,1,1,2,2008,20516
15549,1009,1009,AL,Blount County,1,1,1,2,2005,0
12440,1009,1009,AL,Blount County,1,1,1,2,2004,0
21767,1009,1009,AL,Blount County,1,1,1,2,2007,0
9332,1011,1011,AL,Bullock County,6,6,0,0,2003,0
24877,1011,1011,AL,Bullock County,6,6,0,0,2008,0
34204,1011,1011,AL,Bullock County,6,6,0,0,2011,0
21768,1011,1011,AL,Bullock County,6,6,0,0,2007,0
3114,1011,1011,AL,Bullock County,6,6,0,0,2001,0
18659,1011,1011,AL,Bullock County,6,6,0,0,2006,0
5,1011,1011,AL,Bullock County,6,6,0,0,2000,0
6223,1011,1011,AL,Bullock County,6,6,0,0,2002,0
27986,1011,1011,AL,Bullock County,6,6,0,0,2009,0
15550,1011,1011,AL,Bullock County,6,6,0,0,2005,0
31095,1011,1011,AL,Bullock County,6,6,0,0,2010,0
12441,1011,1011,AL,Bullock County,6,6,0,0,2004,0
18660,1013,1013,AL,Butler County,6,6,0,0,2006,0
15551,1013,1013,AL,Butler County,6,6,0,0,2005,0
9333,1013,1013,AL,Butler County,6,6,0,0,2003,0
31096,1013,1013,AL,Butler County,6,6,0,0,2010,0
6224,1013,1013,AL,Butler County,6,6,0,0,2002,0
21769,1013,1013,AL,Butler County,6,6,0,0,2007,0
6,1013,1013,AL,Butler County,6,6,0,0,2000,0
3115,1013,1013,AL,Butler County,6,6,0,0,2001,0
12442,1013,1013,AL,Butler County,6,6,0,0,2004,0
24878,1013,1013,AL,Butler County,6,6,0,0,2008,0
27987,1013,1013,AL,Butler County,6,6,0,0,2009,0
34205,1013,1013,AL,Butler County,6,6,0,0,2011,0
12443,1015,1015,AL,Calhoun County,3,2,1,2,2004,0
6225,1015,1015,AL,Calhoun County,3,2,1,2,2002,0
21770,1015,1015,AL,Calhoun County,3,2,1,2,2007,0
9334,1015,1015,AL,Calhoun County,3,2,1,2,2003,0
34206,1015,1015,AL,Calhoun County,3,2,1,2,2011,0
18661,1015,1015,AL,Calhoun County,3,2,1,2,2006,0
31097,1015,1015,AL,Calhoun County,3,2,1,2,2010,0
3116,1015,1015,AL,Calhoun County,3,2,1,2,2001,0
27988,1015,1015,AL,Calhoun County,3,2,1,2,2009,0
24879,1015,1015,AL,Calhoun County,3,2,1,2,2008,0
7,1015,1015,AL,Calhoun County,3,2,1,2,2000,0
15552,1015,1015,AL,Calhoun County,3,2,1,2,2005,0
15553,1017,1017,AL,Chambers County,6,5,0,1,2005,0
18662,1017,1017,AL,Chambers County,6,5,0,1,2006,0
31098,1017,1017,AL,Chambers County,6,5,0,1,2010,0
24880,1017,1017,AL,Chambers County,6,5,0,1,2008,0
34207,1017,1017,AL,Chambers County,6,5,0,1,2011,0
12444,1017,1017,AL,Chambers County,6,5,0,1,2004,0
3117,1017,1017,AL,Chambers County,6,5,0,1,2001,0
27989,1017,1017,AL,Chambers County,6,5,0,1,2009,0
6226,1017,1017,AL,Chambers County,6,5,0,1,2002,0
9335,1017,1017,AL,Chambers County,6,5,0,1,2003,0
21771,1017,1017,AL,Chambers County,6,5,0,1,2007,0
8,1017,1017,AL,Chambers County,6,5,0,1,2000,0
21772,1019,1019,AL,Cherokee County,6,6,0,0,2007,0
27990,1019,1019,AL,Cherokee County,6,6,0,0,2009,0
9336,1019,1019,AL,Cherokee County,6,6,0,0,2003,0
18663,1019,1019,AL,Cherokee County,6,6,0,0,2006,0
31099,1019,1019,AL,Cherokee County,6,6,0,0,2010,0
12445,1019,1019,AL,Cherokee County,6,6,0,0,2004,0
34208,1019,1019,AL,Cherokee County,6,6,0,0,2011,0
6227,1019,1019,AL,Cherokee County,6,6,0,0,2002,0
24881,1019,1019,AL,Cherokee County,6,6,0,0,2008,0
9,1019,1019,AL,Cherokee County,6,6,0,0,2000,0
3118,1019,1019,AL,Cherokee County,6,6,0,0,2001,0
15554,1019,1019,AL,Cherokee County,6,6,0,0,2005,0
9337,1021,1021,AL,Chilton County,1,1,1,2,2003,0
21773,1021,1021,AL,Chilton County,1,1,1,2,2007,0
3119,1021,1021,AL,Chilton County,1,1,1,2,2001,0
27991,1021,1021,AL,Chilton County,1,1,1,2,2009,0
6228,1021,1021,AL,Chilton County,1,1,1,2,2002,0
34209,1021,1021,AL,Chilton County,1,1,1,2,2011,0
31100,1021,1021,AL,Chilton County,1,1,1,2,2010,0
15555,1021,1021,AL,Chilton County,1,1,1,2,2005,0
12446,1021,1021,AL,Chilton County,1,1,1,2,2004,0
10,1021,1021,AL,Chilton County,1,1,1,2,2000,0
24882,1021,1021,AL,Chilton County,1,1,1,2,2008,0
18664,1021,1021,AL,Chilton County,1,1,1,2,2006,0
34210,1023,1023,AL,Choctaw County,9,10,0,0,2011,326952
18665,1023,1023,AL,Choctaw County,9,10,0,0,2006,256483
3120,1023,1023,AL,Choctaw County,9,10,0,0,2001,308097
15556,1023,1023,AL,Choctaw County,9,10,0,0,2005,293620
12447,1023,1023,AL,Choctaw County,9,10,0,0,2004,330232
6229,1023,1023,AL,Choctaw County,9,10,0,0,2002,351183
21774,1023,1023,AL,Choctaw County,9,10,0,0,2007,337575
9338,1023,1023,AL,Choctaw County,9,10,0,0,2003,333110
27992,1023,1023,AL,Choctaw County,9,10,0,0,2009,343412
31101,1023,1023,AL,Choctaw County,9,10,0,0,2010,362477
24883,1023,1023,AL,Choctaw County,9,10,0,0,2008,677198
11,1023,1023,AL,Choctaw County,9,10,0,0,2000,283457
27993,1025,1025,AL,Clarke County,7,11,0,0,2009,56843
31102,1025,1025,AL,Clarke County,7,11,0,0,2010,41448
12,1025,1025,AL,Clarke County,7,11,0,0,2000,100704
24884,1025,1025,AL,Clarke County,7,11,0,0,2008,55108
15557,1025,1025,AL,Clarke County,7,11,0,0,2005,85342
12448,1025,1025,AL,Clarke County,7,11,0,0,2004,88344
3121,1025,1025,AL,Clarke County,7,11,0,0,2001,102275
6230,1025,1025,AL,Clarke County,7,11,0,0,2002,85661
34211,1025,1025,AL,Clarke County,7,11,0,0,2011,43093
21775,1025,1025,AL,Clarke County,7,11,0,0,2007,61460
18666,1025,1025,AL,Clarke County,7,11,0,0,2006,66184
9339,1025,1025,AL,Clarke County,7,11,0,0,2003,79814
13,1027,1027,AL,Clay County,9,10,0,0,2000,0
3122,1027,1027,AL,Clay County,9,10,0,0,2001,0
34212,1027,1027,AL,Clay County,9,10,0,0,2011,0
18667,1027,1027,AL,Clay County,9,10,0,0,2006,0
15558,1027,1027,AL,Clay County,9,10,0,0,2005,0
31103,1027,1027,AL,Clay County,9,10,0,0,2010,0
24885,1027,1027,AL,Clay County,9,10,0,0,2008,0
27994,1027,1027,AL,Clay County,9,10,0,0,2009,0
9340,1027,1027,AL,Clay County,9,10,0,0,2003,0
21776,1027,1027,AL,Clay County,9,10,0,0,2007,0
6231,1027,1027,AL,Clay County,9,10,0,0,2002,0
12449,1027,1027,AL,Clay County,9,10,0,0,2004,0
15559,1029,1029,AL,Cleburne County,8,4,0,0,2005,0
18668,1029,1029,AL,Cleburne County,8,4,0,0,2006,0
21777,1029,1029,AL,Cleburne County,8,4,0,0,2007,0
31104,1029,1029,AL,Cleburne County,8,4,0,0,2010,0
9341,1029,1029,AL,Cleburne County,8,4,0,0,2003,0
34213,1029,1029,AL,Cleburne County,8,4,0,0,2011,0
3123,1029,1029,AL,Cleburne County,8,4,0,0,2001,0
14,1029,1029,AL,Cleburne County,8,4,0,0,2000,0
24886,1029,1029,AL,Cleburne County,8,4,0,0,2008,0
6232,1029,1029,AL,Cleburne County,8,4,0,0,2002,0
27995,1029,1029,AL,Cleburne County,8,4,0,0,2009,0
12450,1029,1029,AL,Cleburne County,8,4,0,0,2004,0
18669,1031,1031,AL,Coffee County,4,5,0,1,2006,0
12451,1031,1031,AL,Coffee County,4,5,0,1,2004,0
15,1031,1031,AL,Coffee County,4,5,0,1,2000,0
27996,1031,1031,AL,Coffee County,4,5,0,1,2009,0
15560,1031,1031,AL,Coffee County,4,5,0,1,2005,0
31105,1031,1031,AL,Coffee County,4,5,0,1,2010,0
6233,1031,1031,AL,Coffee County,4,5,0,1,2002,0
34214,1031,1031,AL,Coffee County,4,5,0,1,2011,0
9342,1031,1031,AL,Coffee County,4,5,0,1,2003,0
21778,1031,1031,AL,Coffee County,4,5,0,1,2007,0
3124,1031,1031,AL,Coffee County,4,5,0,1,2001,0
24887,1031,1031,AL,Coffee County,4,5,0,1,2008,0
16,1033,1033,AL,Colbert County,3,2,1,2,2000,0
34215,1033,1033,AL,Colbert County,3,2,1,2,2011,0
6234,1033,1033,AL,Colbert County,3,2,1,2,2002,0
24888,1033,1033,AL,Colbert County,3,2,1,2,2008,0
21779,1033,1033,AL,Colbert County,3,2,1,2,2007,0
3125,1033,1033,AL,Colbert County,3,2,1,2,2001,0
9343,1033,1033,AL,Colbert County,3,2,1,2,2003,0
18670,1033,1033,AL,Colbert County,3,2,1,2,2006,0
27997,1033,1033,AL,Colbert County,3,2,1,2,2009,0
15561,1033,1033,AL,Colbert County,3,2,1,2,2005,0
31106,1033,1033,AL,Colbert County,3,2,1,2,2010,0
12452,1033,1033,AL,Colbert County,3,2,1,2,2004,0
31107,1035,1035,AL,Conecuh County,7,11,0,0,2010,3040205
18671,1035,1035,AL,Conecuh County,7,11,0,0,2006,1488366
17,1035,1035,AL,Conecuh County,7,11,0,0,2000,132402
9344,1035,1035,AL,Conecuh County,7,11,0,0,2003,105935
15562,1035,1035,AL,Conecuh County,7,11,0,0,2005,1055787
21780,1035,1035,AL,Conecuh County,7,11,0,0,2007,1612418
6235,1035,1035,AL,Conecuh County,7,11,0,0,2002,51886
3126,1035,1035,AL,Conecuh County,7,11,0,0,2001,139643
12453,1035,1035,AL,Conecuh County,7,11,0,0,2004,411087
24889,1035,1035,AL,Conecuh County,7,11,0,0,2008,1950537
34216,1035,1035,AL,Conecuh County,7,11,0,0,2011,4078749
27998,1035,1035,AL,Conecuh County,7,11,0,0,2009,2597540
21781,1037,1037,AL,Coosa County,8,3,0,1,2007,0
27999,1037,1037,AL,Coosa County,8,3,0,1,2009,0
31108,1037,1037,AL,Coosa County,8,3,0,1,2010,0
12454,1037,1037,AL,Coosa County,8,3,0,1,2004,0
18,1037,1037,AL,Coosa County,8,3,0,1,2000,0
6236,1037,1037,AL,Coosa County,8,3,0,1,2002,0
34217,1037,1037,AL,Coosa County,8,3,0,1,2011,0
9345,1037,1037,AL,Coosa County,8,3,0,1,2003,0
24890,1037,1037,AL,Coosa County,8,3,0,1,2008,0
18672,1037,1037,AL,Coosa County,8,3,0,1,2006,0
3127,1037,1037,AL,Coosa County,8,3,0,1,2001,0
15563,1037,1037,AL,Coosa County,8,3,0,1,2005,0
28000,1039,1039,AL,Covington County,6,6,0,0,2009,0
24891,1039,1039,AL,Covington County,6,6,0,0,2008,0
19,1039,1039,AL,Covington County,6,6,0,0,2000,7907
15564,1039,1039,AL,Covington County,6,6,0,0,2005,0
18673,1039,1039,AL,Covington County,6,6,0,0,2006,0
31109,1039,1039,AL,Covington County,6,6,0,0,2010,0
34218,1039,1039,AL,Covington County,6,6,0,0,2011,0
12455,1039,1039,AL,Covington County,6,6,0,0,2004,40
3128,1039,1039,AL,Covington County,6,6,0,0,2001,4042
21782,1039,1039,AL,Covington County,6,6,0,0,2007,0
9346,1039,1039,AL,Covington County,6,6,0,0,2003,705
6237,1039,1039,AL,Covington County,6,6,0,0,2002,1472
31110,1041,1041,AL,Crenshaw County,8,6,0,0,2010,0
21783,1041,1041,AL,Crenshaw County,8,6,0,0,2007,0
18674,1041,1041,AL,Crenshaw County,8,6,0,0,2006,0
24892,1041,1041,AL,Crenshaw County,8,6,0,0,2008,0
28001,1041,1041,AL,Crenshaw County,8,6,0,0,2009,0
12456,1041,1041,AL,Crenshaw County,8,6,0,0,2004,0
9347,1041,1041,AL,Crenshaw County,8,6,0,0,2003,0
34219,1041,1041,AL,Crenshaw County,8,6,0,0,2011,0
15565,1041,1041,AL,Crenshaw County,8,6,0,0,2005,0
20,1041,1041,AL,Crenshaw County,8,6,0,0,2000,0
6238,1041,1041,AL,Crenshaw County,8,6,0,0,2002,0
3129,1041,1041,AL,Crenshaw County,8,6,0,0,2001,0
31111,1043,1043,AL,Cullman County,4,3,0,1,2010,0
9348,1043,1043,AL,Cullman County,4,3,0,1,2003,0
21784,1043,1043,AL,Cullman County,4,3,0,1,2007,0
15566,1043,1043,AL,Cullman County,4,3,0,1,2005,0
34220,1043,1043,AL,Cullman County,4,3,0,1,2011,0
3130,1043,1043,AL,Cullman County,4,3,0,1,2001,0
12457,1043,1043,AL,Cullman County,4,3,0,1,2004,0
6239,1043,1043,AL,Cullman County,4,3,0,1,2002,0
24893,1043,1043,AL,Cullman County,4,3,0,1,2008,4
18675,1043,1043,AL,Cullman County,4,3,0,1,2006,0
28002,1043,1043,AL,Cullman County,4,3,0,1,2009,0
21,1043,1043,AL,Cullman County,4,3,0,1,2000,0
21785,1045,1045,AL,Dale County,4,5,0,1,2007,0
9349,1045,1045,AL,Dale County,4,5,0,1,2003,0
34221,1045,1045,AL,Dale County,4,5,0,1,2011,0
31112,1045,1045,AL,Dale County,4,5,0,1,2010,0
18676,1045,1045,AL,Dale County,4,5,0,1,2006,0
22,1045,1045,AL,Dale County,4,5,0,1,2000,0
3131,1045,1045,AL,Dale County,4,5,0,1,2001,0
15567,1045,1045,AL,Dale County,4,5,0,1,2005,0
12458,1045,1045,AL,Dale County,4,5,0,1,2004,0
6240,1045,1045,AL,Dale County,4,5,0,1,2002,0
28003,1045,1045,AL,Dale County,4,5,0,1,2009,0
24894,1045,1045,AL,Dale County,4,5,0,1,2008,0
12459,1047,1047,AL,Dallas County,4,5,0,1,2004,0
18677,1047,1047,AL,Dallas County,4,5,0,1,2006,0
24895,1047,1047,AL,Dallas County,4,5,0,1,2008,0
9350,1047,1047,AL,Dallas County,4,5,0,1,2003,0
31113,1047,1047,AL,Dallas County,4,5,0,1,2010,0
3132,1047,1047,AL,Dallas County,4,5,0,1,2001,0
28004,1047,1047,AL,Dallas County,4,5,0,1,2009,0
23,1047,1047,AL,Dallas County,4,5,0,1,2000,0
15568,1047,1047,AL,Dallas County,4,5,0,1,2005,0
21786,1047,1047,AL,Dallas County,4,5,0,1,2007,0
6241,1047,1047,AL,Dallas County,4,5,0,1,2002,0
34222,1047,1047,AL,Dallas County,4,5,0,1,2011,0
18678,1049,1049,AL,DeKalb County,6,6,0,0,2006,0
34223,1049,1049,AL,DeKalb County,6,6,0,0,2011,0
6242,1049,1049,AL,DeKalb County,6,6,0,0,2002,0
12460,1049,1049,AL,DeKalb County,6,6,0,0,2004,0
3133,1049,1049,AL,DeKalb County,6,6,0,0,2001,0
28005,1049,1049,AL,DeKalb County,6,6,0,0,2009,0
24896,1049,1049,AL,DeKalb County,6,6,0,0,2008,0
21787,1049,1049,AL,DeKalb County,6,6,0,0,2007,0
9351,1049,1049,AL,DeKalb County,6,6,0,0,2003,0
15569,1049,1049,AL,DeKalb County,6,6,0,0,2005,0
24,1049,1049,AL,DeKalb County,6,6,0,0,2000,0
31114,1049,1049,AL,DeKalb County,6,6,0,0,2010,0
18679,1051,1051,AL,Elmore County,2,2,1,2,2006,0
12461,1051,1051,AL,Elmore County,2,2,1,2,2004,0
24897,1051,1051,AL,Elmore County,2,2,1,2,2008,0
28006,1051,1051,AL,Elmore County,2,2,1,2,2009,0
31115,1051,1051,AL,Elmore County,2,2,1,2,2010,0
34224,1051,1051,AL,Elmore County,2,2,1,2,2011,0
15570,1051,1051,AL,Elmore County,2,2,1,2,2005,0
9352,1051,1051,AL,Elmore County,2,2,1,2,2003,0
3134,1051,1051,AL,Elmore County,2,2,1,2,2001,0
21788,1051,1051,AL,Elmore County,2,2,1,2,2007,0
6243,1051,1051,AL,Elmore County,2,2,1,2,2002,0
25,1051,1051,AL,Elmore County,2,2,1,2,2000,0
6244,1053,1053,AL,Escambia County,6,6,0,0,2002,25444234
26,1053,1053,AL,Escambia County,6,6,0,0,2000,31031460
9353,1053,1053,AL,Escambia County,6,6,0,0,2003,20561498
31116,1053,1053,AL,Escambia County,6,6,0,0,2010,18331521
15571,1053,1053,AL,Escambia County,6,6,0,0,2005,18903484
28007,1053,1053,AL,Escambia County,6,6,0,0,2009,16645033
18680,1053,1053,AL,Escambia County,6,6,0,0,2006,17387157
24898,1053,1053,AL,Escambia County,6,6,0,0,2008,17999550
34225,1053,1053,AL,Escambia County,6,6,0,0,2011,19816843
12462,1053,1053,AL,Escambia County,6,6,0,0,2004,20232098
3135,1053,1053,AL,Escambia County,6,6,0,0,2001,27700443
21789,1053,1053,AL,Escambia County,6,6,0,0,2007,17792633
27,1055,1055,AL,Etowah County,3,2,1,2,2000,0
6245,1055,1055,AL,Etowah County,3,2,1,2,2002,0
12463,1055,1055,AL,Etowah County,3,2,1,2,2004,0
28008,1055,1055,AL,Etowah County,3,2,1,2,2009,0
3136,1055,1055,AL,Etowah County,3,2,1,2,2001,0
34226,1055,1055,AL,Etowah County,3,2,1,2,2011,0
24899,1055,1055,AL,Etowah County,3,2,1,2,2008,0
21790,1055,1055,AL,Etowah County,3,2,1,2,2007,0
15572,1055,1055,AL,Etowah County,3,2,1,2,2005,0
31117,1055,1055,AL,Etowah County,3,2,1,2,2010,0
9354,1055,1055,AL,Etowah County,3,2,1,2,2003,0
18681,1055,1055,AL,Etowah County,3,2,1,2,2006,0
34227,1057,1057,AL,Fayette County,6,6,0,0,2011,1078778
21791,1057,1057,AL,Fayette County,6,6,0,0,2007,1299015
6246,1057,1057,AL,Fayette County,6,6,0,0,2002,1311417
31118,1057,1057,AL,Fayette County,6,6,0,0,2010,1139279
3137,1057,1057,AL,Fayette County,6,6,0,0,2001,1518668
28009,1057,1057,AL,Fayette County,6,6,0,0,2009,1214699
24900,1057,1057,AL,Fayette County,6,6,0,0,2008,1348982
12464,1057,1057,AL,Fayette County,6,6,0,0,2004,1305364
15573,1057,1057,AL,Fayette County,6,6,0,0,2005,1314239
28,1057,1057,AL,Fayette County,6,6,0,0,2000,1604622
9355,1057,1057,AL,Fayette County,6,6,0,0,2003,1128933
18682,1057,1057,AL,Fayette County,6,6,0,0,2006,1354075
6247,1059,1059,AL,Franklin County,6,6,0,0,2002,35604
34228,1059,1059,AL,Franklin County,6,6,0,0,2011,4621
9356,1059,1059,AL,Franklin County,6,6,0,0,2003,29116
21792,1059,1059,AL,Franklin County,6,6,0,0,2007,5125
24901,1059,1059,AL,Franklin County,6,6,0,0,2008,4939
28010,1059,1059,AL,Franklin County,6,6,0,0,2009,5005
3138,1059,1059,AL,Franklin County,6,6,0,0,2001,34457
12465,1059,1059,AL,Franklin County,6,6,0,0,2004,9487
15574,1059,1059,AL,Franklin County,6,6,0,0,2005,7425
29,1059,1059,AL,Franklin County,6,6,0,0,2000,30338
18683,1059,1059,AL,Franklin County,6,6,0,0,2006,5295
31119,1059,1059,AL,Franklin County,6,6,0,0,2010,3819
15575,1061,1061,AL,Geneva County,3,2,1,2,2005,0
3139,1061,1061,AL,Geneva County,3,2,1,2,2001,0
31120,1061,1061,AL,Geneva County,3,2,1,2,2010,0
21793,1061,1061,AL,Geneva County,3,2,1,2,2007,0
6248,1061,1061,AL,Geneva County,3,2,1,2,2002,0
9357,1061,1061,AL,Geneva County,3,2,1,2,2003,0
28011,1061,1061,AL,Geneva County,3,2,1,2,2009,0
12466,1061,1061,AL,Geneva County,3,2,1,2,2004,0
18684,1061,1061,AL,Geneva County,3,2,1,2,2006,0
34229,1061,1061,AL,Geneva County,3,2,1,2,2011,0
24902,1061,1061,AL,Geneva County,3,2,1,2,2008,0
30,1061,1061,AL,Geneva County,3,2,1,2,2000,0
6249,1063,1063,AL,Greene County,8,6,0,0,2002,0
34230,1063,1063,AL,Greene County,8,6,0,0,2011,0
31121,1063,1063,AL,Greene County,8,6,0,0,2010,0
18685,1063,1063,AL,Greene County,8,6,0,0,2006,0
28012,1063,1063,AL,Greene County,8,6,0,0,2009,0
24903,1063,1063,AL,Greene County,8,6,0,0,2008,0
12467,1063,1063,AL,Greene County,8,6,0,0,2004,0
15576,1063,1063,AL,Greene County,8,6,0,0,2005,0
3140,1063,1063,AL,Greene County,8,6,0,0,2001,0
31,1063,1063,AL,Greene County,8,6,0,0,2000,0
9358,1063,1063,AL,Greene County,8,6,0,0,2003,0
21794,1063,1063,AL,Greene County,8,6,0,0,2007,0
31122,1065,1065,AL,Hale County,3,2,1,2,2010,0
21795,1065,1065,AL,Hale County,3,2,1,2,2007,5941
28013,1065,1065,AL,Hale County,3,2,1,2,2009,0
9359,1065,1065,AL,Hale County,3,2,1,2,2003,0
18686,1065,1065,AL,Hale County,3,2,1,2,2006,664
15577,1065,1065,AL,Hale County,3,2,1,2,2005,0
32,1065,1065,AL,Hale County,3,2,1,2,2000,0
34231,1065,1065,AL,Hale County,3,2,1,2,2011,0
6250,1065,1065,AL,Hale County,3,2,1,2,2002,0
24904,1065,1065,AL,Hale County,3,2,1,2,2008,0
3141,1065,1065,AL,Hale County,3,2,1,2,2001,0
12468,1065,1065,AL,Hale County,3,2,1,2,2004,0
18687,1067,1067,AL,Henry County,3,2,1,2,2006,0
6251,1067,1067,AL,Henry County,3,2,1,2,2002,0
24905,1067,1067,AL,Henry County,3,2,1,2,2008,0
3142,1067,1067,AL,Henry County,3,2,1,2,2001,0
31123,1067,1067,AL,Henry County,3,2,1,2,2010,0
34232,1067,1067,AL,Henry County,3,2,1,2,2011,0
12469,1067,1067,AL,Henry County,3,2,1,2,2004,0
15578,1067,1067,AL,Henry County,3,2,1,2,2005,0
33,1067,1067,AL,Henry County,3,2,1,2,2000,0
9360,1067,1067,AL,Henry County,3,2,1,2,2003,0
28014,1067,1067,AL,Henry County,3,2,1,2,2009,0
21796,1067,1067,AL,Henry County,3,2,1,2,2007,0
6252,1069,1069,AL,Houston County,3,2,1,2,2002,0
28015,1069,1069,AL,Houston County,3,2,1,2,2009,0
31124,1069,1069,AL,Houston County,3,2,1,2,2010,0
21797,1069,1069,AL,Houston County,3,2,1,2,2007,0
34,1069,1069,AL,Houston County,3,2,1,2,2000,0
34233,1069,1069,AL,Houston County,3,2,1,2,2011,0
15579,1069,1069,AL,Houston County,3,2,1,2,2005,0
24906,1069,1069,AL,Houston County,3,2,1,2,2008,0
3143,1069,1069,AL,Houston County,3,2,1,2,2001,0
9361,1069,1069,AL,Houston County,3,2,1,2,2003,0
18688,1069,1069,AL,Houston County,3,2,1,2,2006,0
12470,1069,1069,AL,Houston County,3,2,1,2,2004,0
31125,1071,1071,AL,Jackson County,6,5,0,1,2010,0
34234,1071,1071,AL,Jackson County,6,5,0,1,2011,0
15580,1071,1071,AL,Jackson County,6,5,0,1,2005,0
12471,1071,1071,AL,Jackson County,6,5,0,1,2004,0
3144,1071,1071,AL,Jackson County,6,5,0,1,2001,0
24907,1071,1071,AL,Jackson County,6,5,0,1,2008,0
35,1071,1071,AL,Jackson County,6,5,0,1,2000,0
21798,1071,1071,AL,Jackson County,6,5,0,1,2007,0
28016,1071,1071,AL,Jackson County,6,5,0,1,2009,0
9362,1071,1071,AL,Jackson County,6,5,0,1,2003,0
18689,1071,1071,AL,Jackson County,6,5,0,1,2006,0
6253,1071,1071,AL,Jackson County,6,5,0,1,2002,0
15581,1073,1073,AL,Jefferson County,1,1,1,2,2005,20411532
6254,1073,1073,AL,Jefferson County,1,1,1,2,2002,10726078
18690,1073,1073,AL,Jefferson County,1,1,1,2,2006,21919921
12472,1073,1073,AL,Jefferson County,1,1,1,2,2004,18394135
34235,1073,1073,AL,Jefferson County,1,1,1,2,2011,20787365
21799,1073,1073,AL,Jefferson County,1,1,1,2,2007,22557866
31126,1073,1073,AL,Jefferson County,1,1,1,2,2010,21296166
3145,1073,1073,AL,Jefferson County,1,1,1,2,2001,9350777
36,1073,1073,AL,Jefferson County,1,1,1,2,2000,10251702
9363,1073,1073,AL,Jefferson County,1,1,1,2,2003,13659851
28017,1073,1073,AL,Jefferson County,1,1,1,2,2009,21505932
24908,1073,1073,AL,Jefferson County,1,1,1,2,2008,22139392
