Row Labels,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1990
Alabama,20668.0,20608.0,19278.0,18933.0,18558.0,17458.0,17458.0,17238.0,16068.0,15943.0,14993.0,14838.0,14838.0,14838.0,14838.0,14590.0,13689.0,11791.0,11574.0,11374.0,11374.0,11197.0,11052.0,10997.0,10347.0,0.0
Florida,4710.0,4650.0,4650.0,4650.0,4650.0,4650.0,4650.0,4650.0,3699.0,3699.0,3699.0,3544.0,3544.0,3544.0,3544.0,3544.0,3293.0,1865.0,1665.0,1665.0,1665.0,1640.0,1640.0,1640.0,1105.0,0.0
Florida Gas Trans Co,3235.0,3175.0,3175.0,3175.0,3175.0,3175.0,3175.0,3175.0,2224.0,2224.0,2224.0,2224.0,2224.0,2224.0,2224.0,2224.0,1973.0,1675.0,1475.0,1475.0,1475.0,1475.0,1475.0,1475.0,940.0,0.0
Gulf South Pipeline Co,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,165.0,165.0,165.0,165.0,0.0
Gulfstream Natural Gas System (via the Gulf of Mexico),1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,8348.0,8348.0,7518.0,7518.0,7518.0,7518.0,7518.0,7298.0,7079.0,6954.0,6954.0,6954.0,6954.0,6954.0,6954.0,6763.0,6113.0,5643.0,5626.0,5426.0,5426.0,5274.0,5129.0,5074.0,4959.0,0.0
Sabal Trail,830.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Natural Gas Co,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2635.0,2635.0,2510.0,2510.0,2510.0,2510.0,2510.0,2510.0,2372.0,1984.0,1744.0,1727.0,1727.0,1727.0,1662.0,1662.0,1662.0,1662.0,0.0
Transcontinental Gas P L Co,4758.0,4758.0,4758.0,4758.0,4758.0,4758.0,4758.0,4663.0,4444.0,4444.0,4444.0,4444.0,4444.0,4444.0,4444.0,4391.0,4129.0,3899.0,3899.0,3699.0,3699.0,3612.0,3467.0,3412.0,3297.0,0.0
Mississippi,3470.0,3470.0,2970.0,2625.0,2250.0,1150.0,1150.0,1150.0,1150.0,1150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0
